Date Announced (dateann),Unique DEAL ID (master_deal_no),Target Name (tmanames),Acquiror Name (amanames),Acquiror is a Financial Sponsor (Yes/No Flag) (afinancial),Acquiror is a Leverage Buyout Firm (albofirm),Acquiror is a Limited Partnership Flag (alp),Deal Attitude (attitude),Deals is a Divestiture Flag (divest),Division (division),Form of transaction (form),Percentage of consideration paid in cash (pct_cash),Percentage of consideration paid in other then cash or stock (p,Percentage of consideration paid in stock (pct_stk),Percentage of consideration which is unknown (pct_unknown),Percentage of Shares Sought (psought),Percentage of Shares Acquiror is Seeking to Own After Transacti,Related Deals Flag (rd),Deal is a Repurchase Flag (repurch),Source of Funds Borrowing Flag (sfbor),Source of Funds Common Stock Issue Flag (sfcom),Financing via Internal Corporate Funds Flag (sfcorp),Financing via Debt Securities Flag (sfdebt),Financing via Line of Credit Flag (sflc),Deal Status (status),Ranking Value incl Net Debt of Target (USD Mil) (rankval),TR Acquiror Industry Description (atf_mid_desc),TR Target Industry Description (ttf_mid_desc),TR Acquiror Macro Description (atf_macro_desc),TR Target Macro Description (ttf_macro_desc),Acquiror Nation (anation),Acquiror Nation Code (anationcode),Target Nation (tnation),Target Nation Code (tnationcode),Target Public Status (tpublic),Acquiror Public Status (apublic),deal_value,Enterprise Value ($mil) (entval),Equity Value ($mil) (eqval),Price Per Share (pr),Target Sales LTM ($mil) (salesltm),Target EBIT LTM ($mil) (ebitltm),Target Pre-Tax Income LTM ($mil) (ptincltm),Target Net Income LTM ($mil) (niltm),Target Net Assets ($mil) (netass),Target Total Assets ($mil) (tass),Target Cash Flow LTM ($mil) (cashflow),Target Book Value ($mil) (bookvalue),Target Common Equity ($mil) (commonequity),Target Earnings Per Share ($mil) (epsltm),Target Closing Stock Price 1 day Prior to Deal Announcement Day,Target Closing Stock Price 1 week Prior to Deal Announcement Da,Target Closing Stock Price 4 weeks Prior to Deal Announcement D,Consideration Offered (considoff),Consideration Sought (considsought),Vix,Interest rates,GDP growth,Healthcare growth,Covid19 
11.04.2018,3233543040,Hogy Medical Co Ltd,Hogy Medical Co Ltd,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,,,No,Yes,No,No,No,No,No,0,46.644,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,Japan,JP,Public,Public,46.644,445.349,606.976,,332.67,45.312,46.5,32.1,835,935.6,100.022,27.1,834.919,0.2748,40.208,39.806,39.9755,"Cash Only, Cash Only",Ordinary Share,15.5,2.5,2.9,4.4,0
25.06.2021,3762903040,Thyrocare Technologies Ltd,Docon Technologies Pvt Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,100,0,26,26,Yes,No,No,No,No,No,No,0,47.021,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,India,IN,India,IN,Public,Sub.,47.021,924.85,939.781,17.53,67.629,19.295,20.8,15.5,58.4,74.6,23.435,1.1,58.422,0.2927,18.389,17.379,14.352,"Cash Only, Cash Only",Ordinary Share,17.2,0.25,5.7,3.9,0
28.06.2016,2976997040,Prism Medical Ltd,Handicare Group AB,No,No,No,Friendly,No,No,Merger,100,0,0,0,100,100,No,No,No,No,No,No,No,0,55.315,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Sweden,SW,Canada,CA,Public,Sub.,47.196,55.264,47.153,9.56,46.167,0.936,0.3,0.2,18,40.7,3.442,3.6,17.974,0.0352,7.262,7.204,7.141,"Cash Only, Cash Only",Common Stock,14,0.75,1.6,4.8,0
17.07.2023,4106517040,Lutronic Corp,Hahn & Co Twenty-Three Co Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,14.3,97.4,No,No,No,No,No,No,No,0,47.464,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Sub.,47.464,268.443,751.196,,207.708,35.34,29.4,21.8,121,166.7,41.09,4.7,120.693,0.8523,28.581,28.051,28.27,"Cash Only, Cash","Ordinary Share, Convert. Preferred",21.7,5.33,2.9,7.5,0
11.12.2014,2704961040,Nobel Biocare Holding AG,Danaher Corp,No,No,No,Friendly,No,No,Acq. Rem. Int.,100,0,0,0,2,100,Yes,No,No,No,No,No,No,0,47.559,Other Industrials,Healthcare Equipment & Supplies,Industrials,Healthcare,United States,US,Switzerland,SZ,Public,Public,47.559,2070.505,2193.391,19.45,720.183,89.643,76.8,67.7,442.7,806.9,124.328,3.6,442.658,0.5515,17.1,17.1,17,"Cash Only, Cash Only",Ordinary Share,16.6,0.25,2.5,5.5,0
14.05.2024,4234690040,Biorad Medisys Pvt Ltd,Kotak Strategic Situations,No,No,No,Friendly,No,No,Acq. Part. Int.,0,100,0,0,,,No,No,No,No,No,No,No,0,47.927,Asset Management,Healthcare Equipment & Supplies,Financials,Healthcare,India,IN,India,IN,Priv.,Sub.,47.927,,,,40.629,11.135,8.8,6.4,19.7,62.5,12.876,16.1,19.71,5.195,,,,Cash Only,Stock,15.5,4.5,2.8,7,0
28.11.2014,2708009040,OTO Holdings Ltd,Tempus Hldg (Hong Kong) Ltd,No,No,No,Friendly,No,No,Acq. Maj. Int.,0,0,0,100,56,56,Yes,No,No,No,No,No,No,0,48.282,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Hong Kong,HK,Hong Kong,HK,Public,Sub.,48.282,60.894,86.1,0.27,48.301,1.448,1.8,1.3,35.5,43,2.449,0.1,35.469,0.004,0.248,0.248,0.22950297,"Cash Only, Cash Only",Ordinary Share,16.6,0.25,2.5,5.5,0
30.09.2019,3460427040,Sisram Medical Ltd,Ample Up Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,21.9,46,No,No,No,No,No,No,No,0,49.71,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Hong Kong,HK,Israel,IS,Public,Sub.,49.71,130.002,221.152,0.51,166.545,25.126,25.5,25.2,319.9,386.8,32.818,0.7,319.874,0.0555,0.524,0.527,0.478,"Cash Only, Cash Only",Ordinary Share,13.8,1.75,2.3,4.6,0
08.09.2022,3975477040,Imapole SAS,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,0,100,0,0,,,No,No,No,No,No,No,No,0,49.995,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,France,FR,France,FR,Priv.,Priv.,49.995,,,,15.987,3.658,3.6,2.7,8.1,9.8,3.954,,8.132,,,,,Cash Only,Stock,22.5,4.25,2.1,4.5,0
02.05.2019,4066424020,Anika Therapeutics Inc,Anika Therapeutics Inc,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,,,No,Yes,No,No,No,No,No,1,50,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United States,US,United States,US,Public,Public,50,,,,109.014,35.063,36.9,29.9,269.1,306.7,40.977,18.9,269.071,2.0696,32.79,32.63,30.39,Cash Only,Common Stock,13.8,1.75,2.3,4.6,0
03.05.2017,3106253020,Align Technology Inc,Align Technology Inc,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,,,No,Yes,No,No,Yes,No,No,0,50,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United States,US,United States,US,Public,Public,50,9495.831,10041.417,,1151.495,257.26,253,218.6,1044.9,1459.3,284.337,13,1044.875,2.7362,134.12,119.74,114.8,"Cash Only, Cash Only",Common Stock,11,1.5,2.4,4.6,0
08.11.2018,3318583020,Align Technology Inc,Align Technology Inc,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,,,No,Yes,No,No,Yes,No,No,0,50,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United States,US,United States,US,Public,Public,50,,,,1853.795,455.697,456.8,397.4,1193,1928.4,504.906,14.9,1192.983,4.9606,245.31,230.95,312.86,"Cash Only, Cash Only",Common Stock,15.5,2.5,2.9,4.4,0
14.04.2014,2630679040,Prism UK Medical Ltd,LDC (Managers) Ltd,Yes,Yes,No,Neutral,No,No,Acq. Part. Int.,100,0,0,0,,,No,No,No,No,No,No,No,0,50.175,Alternative Financial Investments,Healthcare Equipment & Supplies,Financials,Healthcare,United Kingdom,UK,United Kingdom,UK,Priv.,Sub.,50.175,,,,42.344,4.289,4.7,3.5,22.8,30.6,6.114,,21.566,,,,,"Cash Only, Cash Only",Stock,16.6,0.25,2.5,5.5,0
27.11.2017,3182555020,MGC Diagnostics Corp,Altus Capital Partners LLC,Yes,Yes,No,Friendly,No,No,Merger,100,0,0,0,100,100,No,No,No,No,No,No,No,0,43.761,Alternative Financial Investments,Healthcare Equipment & Supplies,Financials,Healthcare,United States,US,United States,US,Public,Priv.,50.179,43.419,49.837,11.03,40.464,1.617,-2.3,-3.6,14.6,28.1,2.72,3.3,14.576,-0.8323,8.8,8.78,8.56,"Cash, Cash","Common Stock, Option",11,1.5,2.4,4.6,0
23.05.2017,3106651040,Techcomp (Holdings) Ltd,Baodi Intl Invest Co Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,44.4,44.4,No,No,No,No,No,No,No,0,50.871,Construction Materials,Healthcare Equipment & Supplies,Materials,Healthcare,Hong Kong,HK,Hong Kong,HK,Public,Sub.,50.871,145.707,116.049,0.42,174.626,2.272,0.9,1,80.1,168,5.012,0.3,81.035,0.0035,0.324,0.209,0.17,"Cash Only, Cash Only",Ordinary Share,11,1.5,2.4,4.6,0
23.02.2022,3880022040,Peloton Radiology Pty Ltd,Integral Diagnostics Ltd,No,No,No,Friendly,No,No,Acq. of Assets,80.56,5.67,13.77,0,100,100,No,No,No,Yes,No,No,No,0,50.894,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Australia,AU,Australia,AU,Priv.,Public,50.894,,,,23.282,1.411,1.5,1,9.4,37,3.939,,9.371,,,,,"Earnout, Newly Issued Ord Sh, Cash","Assets, Assets, Assets",22.5,4.25,2.1,4.5,0
16.06.2021,3757153040,WITec GmbH,Oxford Instruments PLC,No,No,No,Friendly,No,No,Acq. of Assets,88.1,11.91,0,0,100,100,No,No,No,No,No,No,No,0,50.921,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United Kingdom,UK,Germany,WG,Priv.,Public,50.921,,,,,2.369,2.2,1.6,5.6,15.5,2.427,,5.553,,,,,"Cash, Earnout","Assets, Assets",17.2,0.25,5.7,3.9,0
08.11.2019,3475133040,BML Inc,BML Inc,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,5.2,5.2,No,No,No,No,Yes,No,No,0,51.05,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,Japan,JP,Public,Public,51.05,598.777,1099.835,25.53,1112.701,100.249,104.5,69.4,782.5,1113.3,148.24,17.5,744.864,1.5202,28.92,28.613,27.205,"Cash Only, Cash Only",Ordinary Share,13.8,1.75,2.3,4.6,0
27.01.2014,2604401040,Shanghai Kehua Bio-Engineering,League Agent (Hk) Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,4,4,No,No,No,No,No,No,No,0,51.204,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Hong Kong,HK,China,CH,Public,Sub.,51.204,1189.81,1251.205,2.52,196.239,52.017,56.9,48.4,204.3,230.3,57.8,0.4,202.55,0.0956,2.781,2.78,2.775,"Cash Only, Cash Only",Newly Issued Ord Sh,16.6,0.25,2.5,5.5,0
14.03.2014,2618932040,Cremer SA,Arapaima Participacoes SA,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,27.3,100,No,No,No,No,No,No,No,0,52.012,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Brazil,BR,Brazil,BR,Public,Sub.,52.012,302.227,220.486,7.25,242.014,25.923,15.7,12.7,112.5,292.8,35.583,3.7,112.485,0.3922,5.931,6.11,6.282,"Cash Only, Cash Only",Ordinary Share,16.6,0.25,2.5,5.5,0
15.02.2023,4041351040,Cochlear Ltd,Cochlear Ltd,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,,,No,Yes,No,No,No,No,No,0,52.388,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Australia,AU,Australia,AU,Public,Public,52.388,11420.545,11622.414,,1170.746,253.171,238.9,178.1,1168.6,1680.6,306.789,17.8,1168.634,2.7075,146.042,149.822,147.26,Ordinary Share,Ordinary Share,21.7,5.33,2.9,7.5,0
27.01.2023,4032508040,Humasis Co Ltd,Artist Cosmetics Co Ltd,No,No,No,Neutral,No,No,Acq. Part. Int.,0,0,0,100,7.6,7.6,No,No,No,No,No,No,No,0,52.767,Other Consumer Products,Healthcare Equipment & Supplies,Consumer Products and Services,Healthcare,South Korea,SK,South Korea,SK,Public,Sub.,52.767,423.447,673.937,,373.753,170.29,188.4,144.8,275,370.8,174.134,8.6,274.985,4.4247,14.166,13.915,11.302,Cash Only,Ordinary Share,21.7,5.33,2.9,7.5,0
08.03.2024,4205772040,Dio Corp,Omega 2 Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,18.9,18.9,No,No,No,No,No,No,No,0,52.906,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Sub.,52.906,368.011,285.558,15.59,120.378,15.943,8,2,150.2,284,25.452,10.3,150.206,0.1757,15.343,15.808,15.248,Cash Only,Convertible Bond,15.5,4.5,2.8,7,0
10.12.2020,3672546040,Needlers Ltd,RS Group plc,No,No,No,Friendly,No,No,Acq. of Assets,0,100,0,0,100,100,No,No,No,No,No,No,No,0,53.584,Electronics,Healthcare Equipment & Supplies,High Technology,Healthcare,United Kingdom,UK,United Kingdom,UK,Priv.,Public,53.584,,,,40.858,1.828,1.3,1,5.7,17.3,1.9,,5.656,,,,,"Cash Only, Cash Only",Assets,26.9,0.25,-3.4,9.7,1
26.02.2021,3703592040,MediStim ASA,Aeternum Capital AS,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,10.2,10.2,No,No,No,No,No,No,No,0,54.025,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Norway,NO,Norway,NO,Public,Priv.,54.025,518.435,522.257,29.01,42.334,11.132,10.7,8.1,29.9,40.3,13.829,1.6,29.943,0.4445,29.95,31.883,29.879,"Cash Only, Cash Only",Ordinary Share,17.2,0.25,5.7,3.9,0
26.10.2015,2930335040,Suzhou TFC Optical Commun,Zhongrong Life Ins Co Ltd,No,No,No,Neutral,No,No,Acq. Part. Int.,100,0,0,0,5,5,No,No,No,No,No,No,No,0,55.338,Insurance,Healthcare Equipment & Supplies,Financials,Healthcare,China,CH,China,CH,Public,Priv.,55.338,1110.274,1128.402,14.89,34.036,16.101,17.3,14.7,101.4,104.6,17.386,1.4,101.386,0.2102,18.214,15.925,16.729,"Cash Only, Cash Only",Ordinary Share,16.9,0.25,3.1,5.5,0
13.04.2015,2743278040,Echosens SA,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,37.5,37.5,No,No,No,No,No,No,No,0,55.545,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,France,FR,France,FR,Sub.,Priv.,55.545,160.674,169.417,,33.957,12.263,12.4,9.3,25.2,38.5,13.567,,25.189,,,,,"Cash Only, Cash Only",Stock,16.9,0.25,3.1,5.5,0
20.11.2023,4159379040,Mediana Co Ltd,SELVAS AI Inc,No,No,No,Neutral,No,No,Acq. Part. Int.,0,0,0,100,32,32,No,No,No,No,No,No,No,0,56.569,Software,Healthcare Equipment & Supplies,High Technology,Healthcare,South Korea,SK,South Korea,SK,Public,Public,56.569,130.64,169.201,,60.338,8.982,8.8,6.3,72.8,82,10.137,4.6,72.775,0.3945,6.088,4.571,3.986,Cash Only,Ordinary Share,21.7,5.33,2.9,7.5,0
20.04.2016,2949372040,Japan Med Dynamic Mktg Inc,NGK SPARK PLUG Co Ltd,No,No,No,Neutral,No,No,Acq. Part. Int.,100,0,0,0,30,30,No,No,No,No,No,No,No,0,56.694,Automobiles & Components,Healthcare Equipment & Supplies,Industrials,Healthcare,Japan,JP,Japan,JP,Public,Public,56.694,223.823,183.467,7.14,115.777,15.18,10.8,7.1,100.7,179,23.123,3.8,100.599,0.2689,5.637,5.455,5.358,"Cash Only, Cash Only",Ordinary Share,14,0.75,1.6,4.8,0
25.06.2024,4253818040,Ilooda Co Ltd,Classys Inc,No,No,No,Friendly,No,No,Merger,0,0,100,0,74.4,100,No,No,No,No,No,No,No,0,75.195,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,South Korea,SK,South Korea,SK,Public,Public,57.47,130.929,112.659,5.36,43.398,1.292,-4.5,-3.8,40.4,75.8,3.034,2,41.081,-0.1686,5.424,5.52,5.263,Newly Issued Ord Sh,Ordinary Share,15.5,4.5,2.8,7,0
11.08.2023,4119100040,Lutronic Corp,Hahn & Co Twenty-Three Co Ltd,No,No,No,Friendly,No,No,Acq. Rem. Int.,100,0,0,0,8,100,Yes,No,No,No,No,No,No,0,58.091,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Sub.,58.091,678.431,730.68,,207.708,35.34,29.4,21.8,121,166.7,41.09,4.7,120.693,0.8523,27.641,27.989,28.581,"Cash, Cash, Cash, Cash, Cash","Ordinary Share, Convert. Preferred, Convert. Preferred, Ordinary Share, Convert. Preferred",21.7,5.33,2.9,7.5,0
23.03.2017,3083642040,Blue Sail Medical Co Ltd,Zhuhai Juqin Qinfeng Lusong,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,7.1,7.1,No,No,No,No,No,No,No,0,58.16,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,China,CH,China,CH,Public,Priv.,58.16,759.85,813.838,1.66,185.619,25.434,31.7,26,187.2,228.6,32.541,0.4,187.08,0.0528,1.807,1.842,1.835,"Cash Only, Cash Only",Ordinary Share,11,1.5,2.4,4.6,0
28.08.2020,3627453040,Ogawa Smart Healthcare Tech,Zhuhai Chonglan Entrp Mgmt,No,No,Yes,Neutral,No,No,Acq. Part. Int.,0,0,0,100,5,5,No,No,No,No,No,No,No,0,59.184,Professional Services,Healthcare Equipment & Supplies,Consumer Products and Services,Healthcare,China,CH,China,CH,Public,Priv.,59.184,1389.666,1138.336,2.11,793.959,63.326,59.3,45.8,521.1,1149.1,81.726,0.9,513.163,0.0838,2.317,2.336,1.788,"Cash Only, Cash Only",Ordinary Share,26.9,0.25,-3.4,9.7,1
17.05.2022,3920961020,Cynosure Inc,Clayton Dubilier & Rice LLC,Yes,Yes,No,Friendly,No,No,Acq. Part. Int.,0,100,0,0,,,No,No,No,No,No,No,No,0,60,Alternative Financial Investments,Healthcare Equipment & Supplies,Financials,Healthcare,United States,US,United States,US,Sub.,Priv.,60,,,,433.532,27.34,24.9,14.2,455.5,586.5,48.04,19.2,455.494,0.6094,,,,Cash Only,Stock,22.5,4.25,2.1,4.5,0
04.01.2022,3891701040,Tesi Group SpA,GPI SpA,No,No,No,Friendly,No,No,Acq. Maj. Int.,0,100,0,0,65,65,No,No,No,No,No,No,No,0,61.776,IT Consulting & Services,Healthcare Equipment & Supplies,High Technology,Healthcare,Italy,IT,Italy,IT,Priv.,Public,61.776,100.106,101.565,,28.98,9.567,10.6,7.7,21.6,40,11.636,,21.64,,,,,Cash Only,Stock,22.5,4.25,2.1,4.5,0
08.11.2021,3824342040,Quantum Health Group Ltd,Paragon Care Ltd,No,No,No,Friendly,No,No,Merger,0,0,100,0,100,100,No,No,No,No,No,No,No,0,55.345,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Australia,AU,Australia,AU,Public,Public,61.891,55.972,62.604,0.06,41.742,6.625,6.4,5.8,35.4,55.8,7.754,0,31.429,0.0046,0.056,0.056,0.053,Ordinary Share,Ordinary Share,17.2,0.25,5.7,3.9,0
28.06.2021,3807898040,Miracle Laser Systems Inc,Beijing So-Young Wanwei Tech,No,No,No,Friendly,No,No,Acq. Part. Int.,0,100,0,0,42.8,42.8,Yes,No,No,No,No,No,No,0,62.102,Professional Services,Healthcare Equipment & Supplies,Consumer Products and Services,Healthcare,China,CH,China,CH,Priv.,Sub.,62.102,120.302,143.43,,27.264,4.992,5.2,4.5,39.9,49.4,6.284,0.6,39.938,0.0899,,,,"Cash Only, Cash Only",Stock,17.2,0.25,5.7,3.9,0
14.03.2022,3887909040,Dio Corp,Sesim Co Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,13.3,13.3,No,No,No,No,No,No,No,1,62.324,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,62.324,459.438,397.737,25.8,126.298,29.002,28.5,23.7,157.9,293.1,38.612,10.6,157.409,1.6259,29.303,29.136,25.39,Cash Only,Newly Issued Ord Sh,22.5,4.25,2.1,4.5,0
28.10.2020,3653353040,A&T Corp,Tokuyama Corp,No,No,No,Friendly,No,No,Merger,0,0,100,0,59.8,100,No,No,No,No,No,No,No,0,62.003,Chemicals,Healthcare Equipment & Supplies,Materials,Healthcare,Japan,JP,Japan,JP,Public,Public,64.185,104.114,106.275,17.16,91.969,4.564,4.4,3.1,74.2,106.6,6.756,11.9,74.206,0.4933,12.787,13.705,12.869,"Ordinary Share, Newly Issued Ord Sh","Ordinary Share, Ordinary Share",26.9,0.25,-3.4,9.7,1
13.05.2024,4249754040,NIHON KOHDEN CORP,NIHON KOHDEN CORP,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,,,No,Yes,No,No,No,No,No,0,64.218,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,Japan,JP,Public,Public,64.218,2001.991,2330.971,,1467.094,129.476,194.1,112.5,1196.8,1541.4,154.94,14.3,1196.762,1.3412,27.787,28.282,26.862,Cash Only,Ordinary Share,15.5,4.5,2.8,7,0
13.11.2014,2695438020,Clearfield Inc,Clearfield Inc,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,,,No,Yes,No,No,Yes,No,No,1,65,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United States,US,United States,US,Public,Public,65,,,,78.569,9.08,9.3,7,65.7,71.4,10.623,4.6,65.701,0.5184,13.9,14.03,14.14,"Cash, Cash, Cash, Cash, Cash","Common Stock, Common Stock, Common Stock, Common Stock, Common Stock",16.6,0.25,2.5,5.5,0
01.03.2021,3704665040,Safe Obstetric Systems Ltd,CooperSurgical Inc,No,No,No,Friendly,No,No,Acq. of Assets,78.95,21.05,0,0,100,100,No,No,No,No,No,No,No,0,66.177,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United States,US,United Kingdom,UK,Priv.,Sub.,66.177,,,,3.156,2.52,2.5,2.3,2.8,3.2,2.523,,2.761,,,,,"Cash, Earnout","Assets, Assets",17.2,0.25,5.7,3.9,0
13.06.2020,3587880040,Union Optech Co Ltd,Gong Junqiang,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,14.8,24,No,No,No,No,Yes,No,No,0,67.64,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,China,CH,China,CH,Public,Inv.,67.64,397.3,388.097,1.72,161.843,6.313,7.5,7.2,130.5,235.3,11.105,0.6,130.268,0.0271,2.118,2.309,2.029,"Cash Only, Cash Only",Newly Issued Ord Sh,26.9,0.25,-3.4,9.7,1
24.05.2016,2972433040,Zhong Zhu Holding Co Ltd,First Seafront Fund Mgmt Co,No,No,No,Neutral,No,No,Acq. Part. Int.,0,0,0,100,4.3,4.3,No,No,No,No,No,No,No,0,67.757,Asset Management,Healthcare Equipment & Supplies,Financials,Healthcare,China,CH,China,CH,Public,Priv.,67.757,1685.825,1598.859,2.46,126.676,12.795,16.7,13.3,709.9,1024.7,15.355,1.1,677.343,0.0261,2.47,2.544,2.233,"Cash Only, Cash Only",Ordinary Share,14,0.75,1.6,4.8,0
13.04.2019,3382522040,Centervue SpA,Revenio Italy Srl,No,No,No,Friendly,No,No,Merger,98.33,1.67,0,0,100,100,No,No,Yes,No,No,No,No,0,67.8,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Italy,IT,Italy,IT,Priv.,Sub.,67.8,61.126,68.814,,16.769,3.696,4.6,3.4,8.6,14,3.89,,8.627,,,,,"Cash, Earnout","Stock, Stock",13.8,1.75,2.3,4.6,0
02.06.2022,3929159040,Accumax Lab Devices Pvt Ltd,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,0,100,0,0,,,No,No,No,No,No,No,No,0,68,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Malaysia,MA,India,IN,Priv.,Priv.,68,,,,52.86,18.248,17.9,12.9,30.2,51,21.791,2.6,26.896,1.2307,,,,Cash Only,Stock,22.5,4.25,2.1,4.5,0
27.01.2014,2620504040,Shanghai Kehua Bio-Engineering,League Agent (Hk) Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,5.3,15.4,Yes,No,No,Yes,No,No,No,0,68.609,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Hong Kong,HK,China,CH,Public,Sub.,68.609,1204.063,1282.39,2.61,184.056,52.252,58.8,49.8,201.5,226.3,57.085,0.4,188.942,0.0968,2.781,2.78,2.775,"Cash Only, Cash Only",Ordinary Share,16.6,0.25,2.5,5.5,0
14.12.2016,2671805020,Alliance HealthCare Svcs Inc,Tahoe Investment Group Co Ltd,No,No,No,Friendly,No,No,Acq. Rem. Int.,100,0,0,0,48.6,48.6,No,No,No,No,No,No,No,0,69.068,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,China,CH,United States,US,Sub.,Priv.,69.068,665.292,143.515,13.25,511.76,56.404,21,1.1,-9.9,645.6,123.794,-12.9,-139.766,0.0981,,,,"Cash, Cash","Common Stock, Common Stock",14,0.75,1.6,4.8,0
12.05.2020,3574010040,Intco Med Tech Co Ltd,Liu Fangyi,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,7.4,42.5,No,No,No,No,No,No,No,0,70.45,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,China,CH,China,CH,Public,Inv.,70.45,836.672,870.323,4.05,332.961,45.257,44.7,38.6,274,477.7,58.321,1.3,270.514,0.1976,7.528,7.977,7.32,"Cash Only, Cash Only",Newly Issued Ord Sh,26.9,0.25,-3.4,9.7,1
12.02.2018,3212107040,Shanghai Kinetic Med Co Ltd,Yongjin Invest Hldg Co Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,7,7,No,No,No,No,Yes,No,No,0,70.814,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,China,CH,China,CH,Public,Priv.,70.814,954.342,979.215,1.41,123.976,37.749,35.7,29.8,313.8,414.1,43.087,0.4,311.505,0.0419,0,0,1.315,"Cash Only, Cash Only",Ordinary Share,15.5,2.5,2.9,4.4,0
15.03.2022,3917293040,Healius Ltd,Healius Ltd,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,,,No,Yes,No,No,No,No,No,0,71.87,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Australia,AU,Australia,AU,Public,Public,71.87,4707.231,3715.878,,1659.999,353.562,289.3,163.7,1406.5,2846.1,545.952,2.4,1406.48,0.2781,3.098,2.986,3.146,Cash Only,Ordinary Share,22.5,4.25,2.1,4.5,0
